variable;categorie
latitude;coor
longitude;coor
p_tot;modele_ht
t_ma;modele_ht
altitude;modele_ht
essence;arbre
dhpcm;arbre
tige_ha;arbre
etat;arbre
placette;etude
etage;etude
essence;etude
dhpcm;etude
hauteur;etude
age;etude
placette;plot
type_eco;plot
sdom_bio;plot
vol_dm3;vol
hauteur_pred;ht
p_tot;climat
t_ma;climat
nfi;dendro
nft;dendro
nsab;dendro
nri;dendro
nrt;dendro
stfi;dendro
stft;dendro
stsab;dendro
stri;dendro
strt;dendro
vfi;dendro
vft;dendro
vsab;dendro
vri;dendro
vrt;dendro
hd;dendro
is;dendro
age;dendro
